0,1,2,3,4,5,6,7,8,9
MI_StepLength,SSDMI_HipMI_Knee,SSDLI_HipLI_Knee,SpineFlexion_Extension,SSDLI_HipLI_Knee,SSDMI_HipMI_Knee,SSDMI_HipMI_Knee,SSDLI_HipLI_Knee,LI_StepLength,SSDMI_HipMI_Knee
"Index(['MI_StepLength', 'SSDMI_HipMI_Knee'], dtype='object')","Index(['SSDMI_HipMI_Knee', 'COVMI_StepLength'], dtype='object')","Index(['MI_StepLength', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['SpineFlexion_Extension', 'AnkleASI'], dtype='object')","Index(['MI_StepLength', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['SSDMI_HipMI_Knee', 'COVMI_StepLength'], dtype='object')","Index(['LI_StepLength', 'SSDMI_HipMI_Knee'], dtype='object')","Index(['MI_StepLength', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'COMAP'], dtype='object')","Index(['LI_StepLength', 'SSDMI_HipMI_Knee'], dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'SSDMI_HipMI_Knee'], dtype='object')","Index(['AnkleASI', 'SSDMI_HipMI_Knee', 'COVMI_StepLength'], dtype='object')","Index(['MI_StepLength', 'SSDLI_HipLI_Knee', 'COVC7'], dtype='object')","Index(['LI_StepLength', 'SpineFlexion_Extension', 'AnkleASI'], dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'COVMI_StepLength'], dtype='object')","Index(['LI_StepLength', 'COMAP', 'SSDMI_HipMI_Knee'], dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP'], dtype='object')","Index(['LI_StepLength', 'COMAP', 'SSDMI_HipMI_Knee'], dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'SSDMI_HipMI_Knee',
       'COVStepWidth'],
      dtype='object')","Index(['LI_HipAbduction_Adduction', 'AnkleASI', 'SSDMI_HipMI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'SSDLI_HipLI_Knee', 'ACCLI_KneeLI_Ankle', 'COVC7'], dtype='object')","Index(['LI_StepLength', 'SpineFlexion_Extension', 'AnkleASI',
       'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP', 'SSDMI_HipMI_Knee'], dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDLI_HipLI_Knee', 'ACCLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'COMAP', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee'], dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'COVStepWidth'],
      dtype='object')","Index(['MI_HipAbduction_Adduction', 'LI_HipAbduction_Adduction', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'LI_HipAbduction_Adduction', 'SpineFlexion_Extension',
       'AnkleASI', 'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'KneeASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP', 'LegPhaseDispersion',
       'SSDMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee',
       'ACCLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMML', 'COMAP', 'SSDLI_HipLI_Knee'], dtype='object')","Index(['LI_StepLength', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee'],
      dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'ACCMI_HipMI_Knee', 'COVStepWidth'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'AnkleASI', 'SSDMI_HipMI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'KneeASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'AnkleASI',
       'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'HipASI', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'LI_HipAbduction_Adduction', 'KneeASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP', 'HipASI',
       'LegPhaseDispersion', 'SSDMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee',
       'ACCLI_HipLI_Knee', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction', 'COMML',
       'COMAP', 'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee'],
      dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'KneeASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'ACCMI_HipMI_Knee', 'COVStepWidth'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'HipASI', 'AnkleASI', 'SSDMI_HipMI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'MI_AnkleFlexion_Extension', 'KneeASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'AnkleASI',
       'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'COMAP', 'HipASI', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'ACCLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'LI_HipAbduction_Adduction', 'KneeASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction', 'COMAP',
       'HipASI', 'LegPhaseDispersion', 'SSDMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'MI_KneeFlexion_Extension', 'COMAP',
       'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee', 'ACCLI_HipLI_Knee', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'COMML', 'COMAP', 'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction', 'COMAP',
       'KneeASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee'],
      dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'KneeASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee',
       'COVStepWidth'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'HipASI',
       'AnkleASI', 'SSDMI_HipMI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'MI_AnkleFlexion_Extension', 'HipASI', 'KneeASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'HipASI',
       'AnkleASI', 'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'LI_HipAbduction_Adduction', 'COMAP', 'HipASI',
       'KneeASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_KneeFlexion_Extension', 'COMAP', 'HipASI', 'LegPhaseDispersion',
       'SSDMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'MI_KneeFlexion_Extension', 'COMAP', 'HipASI',
       'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee', 'ACCLI_HipLI_Knee', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'COMML', 'COMAP', 'HipASI',
       'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_AnkleFlexion_Extension', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee'],
      dtype='object')"
"Index(['MI_StepLength', 'SpineFlexion_Extension', 'KneeASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee',
       'ACCLI_KneeLI_Ankle', 'COVStepWidth'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension',
       'C7TrajectoryLength', 'HipASI', 'AnkleASI', 'SSDMI_HipMI_Knee',
       'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'LI_HipAbduction_Adduction',
       'MI_AnkleFlexion_Extension', 'HipASI', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'HipASI',
       'AnkleASI', 'LegPhaseDispersion', 'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'LI_HipAbduction_Adduction', 'COMAP', 'HipASI',
       'KneeASI', 'AnkleASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'ACCLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'COVMI_StepLength', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_KneeFlexion_Extension', 'COMAP', 'HipASI', 'LegPhaseDispersion',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'MI_KneeFlexion_Extension', 'SpineFlexion_Extension',
       'COMAP', 'HipASI', 'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee',
       'ACCLI_HipLI_Knee', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'COMML', 'COMAP', 'HipASI',
       'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_AnkleFlexion_Extension', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'COVC7'],
      dtype='object')"
"Index(['MI_StepLength', 'MI_KneeFlexion_Extension', 'SpineFlexion_Extension',
       'KneeASI', 'AnkleASI', 'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee',
       'ACCMI_HipMI_Knee', 'ACCLI_KneeLI_Ankle', 'COVStepWidth'],
      dtype='object')","Index(['LI_StepLength', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineLateral_Flexion',
       'SpineFlexion_Extension', 'C7TrajectoryLength', 'HipASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'COVMI_StepLength'],
      dtype='object')","Index(['MI_StepLength', 'LI_HipAbduction_Adduction',
       'MI_AnkleFlexion_Extension', 'HipASI', 'KneeASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCLI_KneeLI_Ankle', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'LI_ToeHeight', 'MI_HipAbduction_Adduction',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension',
       'C7TrajectoryLength', 'HipASI', 'AnkleASI', 'LegPhaseDispersion',
       'ACCMI_HipMI_Knee'],
      dtype='object')","Index(['MI_StepLength', 'LI_HipAbduction_Adduction',
       'LI_AnkleFlexion_Extension', 'COMAP', 'HipASI', 'KneeASI', 'AnkleASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'ACCLI_HipLI_Knee'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_ToeHeight',
       'LI_HipAbduction_Adduction', 'SpineFlexion_Extension', 'KneeASI',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'COVMI_StepLength', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_KneeFlexion_Extension', 'COMAP', 'HipASI', 'LegPhaseDispersion',
       'SSDMI_HipMI_Knee', 'SSDLI_HipLI_Knee', 'SSDMI_KneeMI_Ankle'],
      dtype='object')","Index(['MI_StepLength', 'MI_HipAbduction_Adduction',
       'MI_KneeFlexion_Extension', 'SpineFlexion_Extension', 'COMAP', 'HipASI',
       'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee', 'ACCLI_HipLI_Knee', 'COVC7'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'SpineFlexion_Extension', 'COMML', 'COMAP', 'HipASI',
       'SSDLI_HipLI_Knee', 'ACCMI_HipMI_Knee', 'ACCLI_KneeLI_Ankle'],
      dtype='object')","Index(['LI_StepLength', 'MI_ToeHeight', 'LI_HipAbduction_Adduction',
       'MI_AnkleFlexion_Extension', 'COMAP', 'KneeASI', 'SSDMI_HipMI_Knee',
       'SSDLI_HipLI_Knee', 'SSDMI_KneeMI_Ankle', 'COVC7'],
      dtype='object')"
